country,region,minyear,supr
Central Asia,CIH regions,,
Central and Eastern Europe,CIH regions,,
China,CIH regions,,
India,CIH regions,,
Latin America and Caribbean,CIH regions,,
Middle East and North Africa,CIH regions,,
North Atlantic,CIH regions,,
Sub-Saharan Africa,CIH regions,,
United States,CIH regions,,
Western Pacific and Asia,CIH regions,,
Western Pacific and Southeast Asia,CIH regions,,
World,CIH regions,,
Low income,World Bank income groups,,
Lower middle income,World Bank income groups,,
Upper middle income,World Bank income groups,,
High income,World Bank income groups,,
Africa,UN regions,,
Americas,UN regions,,
Asia,UN regions,,
Europe,UN regions,,
Oceania,UN regions,,
Australia and New Zealand,UN sub-regions,,
Central Asia,UN sub-regions,,
Eastern Asia,UN sub-regions,,
Eastern Europe,UN sub-regions,,
Latin America and the Caribbean,UN sub-regions,,
Melanesia,UN sub-regions,,
Micronesia,UN sub-regions,,
Northern Africa,UN sub-regions,,
Northern America,UN sub-regions,,
Northern Europe,UN sub-regions,,
Polynesia,UN sub-regions,,
South-eastern Asia,UN sub-regions,,
Southern Asia,UN sub-regions,,
Southern Europe,UN sub-regions,,
Sub-Saharan Africa,UN sub-regions,,
Western Asia,UN sub-regions,,
Western Europe,UN sub-regions,,
Caribbean,UN intermediate regions,,
Central America,UN intermediate regions,,
Eastern Africa,UN intermediate regions,,
Middle Africa,UN intermediate regions,,
South America,UN intermediate regions,,
Southern Africa,UN intermediate regions,,
Western Africa,UN intermediate regions,,
European Union,Other aggregates,,
Frontier (most favorable each year),Other aggregates,1751,
Islamic Development Bank Members,Other aggregates,,
Least Developed Countries,Other aggregates,,
Small Island Developing States,Other aggregates,,
Afghanistan,Central Asia,,
Azerbaijan,Central Asia,,
Kazakhstan,Central Asia,,
Kyrgyzstan,Central Asia,,
Mongolia,Central Asia,,
Pakistan,Central Asia,,
Tajikistan,Central Asia,,
Turkmenistan,Central Asia,,
Uzbekistan,Central Asia,,
Albania,Central and Eastern Europe,,
Armenia,Central and Eastern Europe,,
Belarus,Central and Eastern Europe,,
Bosnia and Herzegovina,Central and Eastern Europe,,
Bulgaria,Central and Eastern Europe,1947,
Croatia,Central and Eastern Europe,,
Czechia,Central and Eastern Europe,,
Georgia,Central and Eastern Europe,,
Hungary,Central and Eastern Europe,,
Kosovo,Central and Eastern Europe,,1
Moldova,Central and Eastern Europe,,
Montenegro,Central and Eastern Europe,,
North Macedonia,Central and Eastern Europe,,
Poland,Central and Eastern Europe,,
Romania,Central and Eastern Europe,,
Russia,Central and Eastern Europe,,
Serbia,Central and Eastern Europe,,
Slovakia,Central and Eastern Europe,,
Slovenia,Central and Eastern Europe,,
Ukraine,Central and Eastern Europe,,
Anguilla,Latin America and Caribbean,,1
Antigua and Barbuda,Latin America and Caribbean,,
Argentina,Latin America and Caribbean,,
Aruba,Latin America and Caribbean,,1
Bahamas,Latin America and Caribbean,,
Barbados,Latin America and Caribbean,,
Belize,Latin America and Caribbean,,
Bolivia,Latin America and Caribbean,,
"Bonaire, Sint Eustatius and Saba",Latin America and Caribbean,,1
Brazil,Latin America and Caribbean,,
British Virgin Islands,Latin America and Caribbean,,1
Cayman Islands,Latin America and Caribbean,,1
Chile,Latin America and Caribbean,,
Colombia,Latin America and Caribbean,,
Costa Rica,Latin America and Caribbean,,
Cuba,Latin America and Caribbean,,
Curaçao,Latin America and Caribbean,,1
Dominica,Latin America and Caribbean,,
Dominican Republic,Latin America and Caribbean,,
Dutch Sint Maarten,Latin America and Caribbean,,1
Ecuador,Latin America and Caribbean,,
El Salvador,Latin America and Caribbean,,
Falkland Islands,Latin America and Caribbean,,1
French Guiana,Latin America and Caribbean,,1
French Saint Martin,Latin America and Caribbean,,1
Grenada,Latin America and Caribbean,,
Guadeloupe,Latin America and Caribbean,,1
Guatemala,Latin America and Caribbean,,
Guyana,Latin America and Caribbean,,
Haiti,Latin America and Caribbean,,
Honduras,Latin America and Caribbean,,
Jamaica,Latin America and Caribbean,,
Martinique,Latin America and Caribbean,,1
Mexico,Latin America and Caribbean,,
Montserrat,Latin America and Caribbean,,1
Nicaragua,Latin America and Caribbean,,
Panama,Latin America and Caribbean,,
Paraguay,Latin America and Caribbean,,
Peru,Latin America and Caribbean,,
Puerto Rico,Latin America and Caribbean,,
Saint Barthélemy,Latin America and Caribbean,,1
Saint Kitts and Nevis,Latin America and Caribbean,,
Saint Lucia,Latin America and Caribbean,,
Saint Vincent and the Grenadines,Latin America and Caribbean,,
Suriname,Latin America and Caribbean,,
Trinidad and Tobago,Latin America and Caribbean,,
Turks and Caicos Islands,Latin America and Caribbean,,1
US Virgin Islands,Latin America and Caribbean,,
Uruguay,Latin America and Caribbean,,
Venezuela,Latin America and Caribbean,,
Algeria,Middle East and North Africa,,
Bahrain,Middle East and North Africa,,
Egypt,Middle East and North Africa,,
Iran,Middle East and North Africa,,
Iraq,Middle East and North Africa,,
Israel,Middle East and North Africa,,
Jordan,Middle East and North Africa,,
Kuwait,Middle East and North Africa,,
Lebanon,Middle East and North Africa,,
Libya,Middle East and North Africa,,
Morocco,Middle East and North Africa,,
Oman,Middle East and North Africa,,
Palestine,Middle East and North Africa,,
Qatar,Middle East and North Africa,,
Saudi Arabia,Middle East and North Africa,,
Syria,Middle East and North Africa,,
Tunisia,Middle East and North Africa,,
Türkiye,Middle East and North Africa,,
United Arab Emirates,Middle East and North Africa,,
Yemen,Middle East and North Africa,,
Andorra,North Atlantic,,
Austria,North Atlantic,1947,
Belgium,North Atlantic,1841,
Bermuda,North Atlantic,,
Canada,North Atlantic,1921,
Cyprus,North Atlantic,,
Denmark,North Atlantic,1835,
Estonia,North Atlantic,,
Faroe Islands,North Atlantic,,1
Finland,North Atlantic,1878,
France,North Atlantic,1816,
Germany,North Atlantic,,
Gibraltar,North Atlantic,,1
Greece,North Atlantic,,
Greenland,North Atlantic,,
Guernsey,North Atlantic,,1
Holy See,North Atlantic,,1
Iceland,North Atlantic,1838,
Ireland,North Atlantic,,
Isle of Man,North Atlantic,,1
Italy,North Atlantic,1872,
Jersey,North Atlantic,,1
Latvia,North Atlantic,,
Liechtenstein,North Atlantic,,1
Lithuania,North Atlantic,,
Luxembourg,North Atlantic,,
Malta,North Atlantic,,
Monaco,North Atlantic,,
Netherlands,North Atlantic,1850,
Norway,North Atlantic,1846,
Portugal,North Atlantic,1940,
Saint Pierre and Miquelon,North Atlantic,,1
San Marino,North Atlantic,,
Spain,North Atlantic,1908,
Sweden,North Atlantic,1751,
Switzerland,North Atlantic,1876,
United Kingdom,North Atlantic,1922,
Angola,Sub-Saharan Africa,,
Benin,Sub-Saharan Africa,,
Botswana,Sub-Saharan Africa,,
Burkina Faso,Sub-Saharan Africa,,
Burundi,Sub-Saharan Africa,,
Cabo Verde,Sub-Saharan Africa,,
Cameroon,Sub-Saharan Africa,,
Central African Republic,Sub-Saharan Africa,,
Chad,Sub-Saharan Africa,,
Comoros,Sub-Saharan Africa,,
Congo,Sub-Saharan Africa,,
Côte d'Ivoire,Sub-Saharan Africa,,
DR Congo,Sub-Saharan Africa,,
Djibouti,Sub-Saharan Africa,,
Equatorial Guinea,Sub-Saharan Africa,,
Eritrea,Sub-Saharan Africa,,
Eswatini,Sub-Saharan Africa,,
Ethiopia,Sub-Saharan Africa,,
Gabon,Sub-Saharan Africa,,
Gambia,Sub-Saharan Africa,,
Ghana,Sub-Saharan Africa,,
Guinea,Sub-Saharan Africa,,
Guinea-Bissau,Sub-Saharan Africa,,
Kenya,Sub-Saharan Africa,,
Lesotho,Sub-Saharan Africa,,
Liberia,Sub-Saharan Africa,,
Madagascar,Sub-Saharan Africa,,
Malawi,Sub-Saharan Africa,,
Mali,Sub-Saharan Africa,,
Mauritania,Sub-Saharan Africa,,
Mauritius,Sub-Saharan Africa,,
Mayotte,Sub-Saharan Africa,,1
Mozambique,Sub-Saharan Africa,,
Namibia,Sub-Saharan Africa,,
Niger,Sub-Saharan Africa,,
Nigeria,Sub-Saharan Africa,,
Rwanda,Sub-Saharan Africa,,
Réunion,Sub-Saharan Africa,,1
Saint Helena,Sub-Saharan Africa,,1
Sao Tome and Principe,Sub-Saharan Africa,,
Senegal,Sub-Saharan Africa,,
Seychelles,Sub-Saharan Africa,,
Sierra Leone,Sub-Saharan Africa,,
Somalia,Sub-Saharan Africa,,
South Africa,Sub-Saharan Africa,,
South Sudan,Sub-Saharan Africa,,
Sudan,Sub-Saharan Africa,,
Tanzania,Sub-Saharan Africa,,
Togo,Sub-Saharan Africa,,
Uganda,Sub-Saharan Africa,,
Western Sahara,Sub-Saharan Africa,,1
Zambia,Sub-Saharan Africa,,
Zimbabwe,Sub-Saharan Africa,,
American Samoa,Western Pacific and Asia,,
Australia,Western Pacific and Asia,1921,
Cook Islands,Western Pacific and Asia,,
Fiji,Western Pacific and Asia,,
French Polynesia,Western Pacific and Asia,,1
Guam,Western Pacific and Asia,,
Kiribati,Western Pacific and Asia,,
Marshall Islands,Western Pacific and Asia,,
Micronesia,Western Pacific and Asia,,
Nauru,Western Pacific and Asia,,
New Caledonia,Western Pacific and Asia,,1
New Zealand,Western Pacific and Asia,1948,
Niue,Western Pacific and Asia,,
Northern Mariana Islands,Western Pacific and Asia,,
Palau,Western Pacific and Asia,,
Papua New Guinea,Western Pacific and Asia,,
Samoa,Western Pacific and Asia,,
Solomon Islands,Western Pacific and Asia,,
Tokelau,Western Pacific and Asia,,
Tonga,Western Pacific and Asia,,
Tuvalu,Western Pacific and Asia,,
Vanuatu,Western Pacific and Asia,,
Wallis and Futuna Islands,Western Pacific and Asia,,1
Bangladesh,Western Pacific and Southeast Asia,,
Bhutan,Western Pacific and Southeast Asia,,
Brunei Darussalam,Western Pacific and Southeast Asia,,
Cambodia,Western Pacific and Southeast Asia,,
China,Western Pacific and Southeast Asia,,
Hong Kong,Western Pacific and Southeast Asia,,1
Indonesia,Western Pacific and Southeast Asia,,
Japan,Western Pacific and Southeast Asia,1947,
Lao,Western Pacific and Southeast Asia,,
Macao,Western Pacific and Southeast Asia,,1
Malaysia,Western Pacific and Southeast Asia,,
Maldives,Western Pacific and Southeast Asia,,
Myanmar,Western Pacific and Southeast Asia,,
Nepal,Western Pacific and Southeast Asia,,
North Korea,Western Pacific and Southeast Asia,,
Philippines,Western Pacific and Southeast Asia,,
Singapore,Western Pacific and Southeast Asia,,
South Korea,Western Pacific and Southeast Asia,,
Sri Lanka,Western Pacific and Southeast Asia,,
Thailand,Western Pacific and Southeast Asia,,
Timor-Leste,Western Pacific and Southeast Asia,,
Viet Nam,Western Pacific and Southeast Asia,,
